2013/5/10 14:42:44==> Operate Description:根據用戶名刪除之前生成的異常分析記錄, Operate Model:考勤稽核, Operate creater:hilton Operate Type:刪除

2013/5/10 14:43:50==> Operate Description:根據用戶名刪除之前生成的異常分析記錄, Operate Model:考勤稽核, Operate creater:hilton Operate Type:刪除

2013/5/10 14:50:47==> Operate Description:根據用戶名刪除之前生成的異常分析記錄, Operate Model:考勤稽核, Operate creater:hilton Operate Type:刪除

2013/5/10 14:50:59==> Operate Description:根據用戶名刪除之前生成的異常分析記錄, Operate Model:考勤稽核, Operate creater:hilton Operate Type:刪除

2013/5/10 15:00:40==> Operate Description:根據用戶名刪除之前生成的異常分析記錄, Operate Model:考勤稽核, Operate creater:hilton Operate Type:刪除

2013/5/10 15:08:50==> Operate Description:根據用戶名刪除之前生成的異常分析記錄, Operate Model:考勤稽核, Operate creater:hilton Operate Type:刪除

2013/5/10 15:09:00==> Operate Description:根據用戶名刪除之前生成的異常分析記錄, Operate Model:考勤稽核, Operate creater:hilton Operate Type:刪除

2013/5/10 15:09:56==> Operate Description:根據用戶名刪除之前生成的異常分析記錄, Operate Model:考勤稽核, Operate creater:hilton Operate Type:刪除

2013/5/10 15:13:00==> Operate Description:根據用戶名刪除之前生成的異常分析記錄, Operate Model:考勤稽核, Operate creater:hilton Operate Type:刪除

2013/5/10 15:13:35==> Operate Description:根據用戶名刪除之前生成的異常分析記錄, Operate Model:考勤稽核, Operate creater:hilton Operate Type:刪除

2013/5/10 15:42:52==> Operate Description:根據用戶名刪除之前生成的異常分析記錄, Operate Model:考勤稽核, Operate creater:hilton Operate Type:刪除

2013/5/10 15:44:17==> Operate Description:根據用戶名刪除之前生成的異常分析記錄, Operate Model:考勤稽核, Operate creater:hilton Operate Type:刪除

2013/5/10 15:47:05==> Operate Description:根據用戶名刪除之前生成的異常分析記錄, Operate Model:考勤稽核, Operate creater:hilton Operate Type:刪除

2013/5/10 15:49:19==> Operate Description:根據用戶名刪除之前生成的異常分析記錄, Operate Model:考勤稽核, Operate creater:hilton Operate Type:刪除

2013/5/10 15:49:32==> Operate Description:根據用戶名刪除之前生成的異常分析記錄, Operate Model:考勤稽核, Operate creater:hilton Operate Type:刪除

2013/5/10 15:49:42==> Operate Description:根據用戶名刪除之前生成的異常分析記錄, Operate Model:考勤稽核, Operate creater:hilton Operate Type:刪除

2013/5/10 15:49:54==> Operate Description:根據用戶名刪除之前生成的異常分析記錄, Operate Model:考勤稽核, Operate creater:hilton Operate Type:刪除

2013/5/10 16:02:09==> Operate Description:根據用戶名刪除之前生成的異常分析記錄, Operate Model:考勤稽核, Operate creater:hilton Operate Type:刪除

2013/5/10 16:03:45==> Operate Description:根據用戶名刪除之前生成的異常分析記錄, Operate Model:考勤稽核, Operate creater:hilton Operate Type:刪除

2013/5/10 16:10:53==> Operate Description:根據用戶名刪除之前生成的異常分析記錄, Operate Model:考勤稽核, Operate creater:hilton Operate Type:刪除

2013/5/10 16:14:55==> Operate Description:根據用戶名刪除之前生成的異常分析記錄, Operate Model:考勤稽核, Operate creater:hilton Operate Type:刪除

2013/5/10 16:15:18==> Operate Description:根據用戶名刪除之前生成的異常分析記錄, Operate Model:考勤稽核, Operate creater:hilton Operate Type:刪除

2013/5/10 16:19:08==> Operate Description:根據用戶名刪除之前生成的異常分析記錄, Operate Model:考勤稽核, Operate creater:hilton Operate Type:刪除

2013/5/10 16:20:01==> Operate Description:根據用戶名刪除之前生成的異常分析記錄, Operate Model:考勤稽核, Operate creater:hilton Operate Type:刪除

2013/5/10 16:20:21==> Operate Description:根據用戶名刪除之前生成的異常分析記錄, Operate Model:考勤稽核, Operate creater:hilton Operate Type:刪除

