2014/6/3 下午 07:26:03==> Operate Description:用戶登錄, Operate Model:用戶管理, Operate creater:test Operate Type:登錄

2014/6/3 下午 07:27:33==> Operate Description:根據用戶名刪除之前生成的異常分析記錄, Operate Model:考勤稽核, Operate creater:test Operate Type:刪除

2014/6/3 下午 07:29:05==> Operate Description:根據用戶名刪除之前生成的異常分析記錄, Operate Model:考勤稽核, Operate creater:test Operate Type:刪除

2014/6/3 下午 07:40:27==> Operate Description:根據用戶名刪除之前生成的異常分析記錄, Operate Model:考勤稽核, Operate creater:test Operate Type:刪除

2014/6/3 下午 07:40:35==> Operate Description:根據用戶名刪除之前生成的異常分析記錄, Operate Model:考勤稽核, Operate creater:test Operate Type:刪除

2014/6/3 下午 07:49:04==> Operate Description:根據用戶名刪除之前生成的異常分析記錄, Operate Model:考勤稽核, Operate creater:test Operate Type:刪除

2014/6/3 下午 07:50:06==> Operate Description:根據用戶名刪除之前生成的異常分析記錄, Operate Model:考勤稽核, Operate creater:test Operate Type:刪除

2014/6/3 下午 07:55:30==> Operate Description:根據用戶名刪除之前生成的異常分析記錄, Operate Model:考勤稽核, Operate creater:test Operate Type:刪除

2014/6/3 下午 08:00:10==> Operate Description:根據用戶名刪除之前生成的異常分析記錄, Operate Model:考勤稽核, Operate creater:test Operate Type:刪除

2014/6/3 下午 08:00:20==> Operate Description:根據用戶名刪除之前生成的異常分析記錄, Operate Model:考勤稽核, Operate creater:test Operate Type:刪除

2014/6/3 下午 08:01:37==> Operate Description:根據用戶名刪除之前生成的異常分析記錄, Operate Model:考勤稽核, Operate creater:test Operate Type:刪除

2014/6/3 下午 08:08:22==> Operate Description:根據用戶名刪除之前生成的異常分析記錄, Operate Model:考勤稽核, Operate creater:test Operate Type:刪除

2014/6/3 下午 08:10:08==> Operate Description:根據用戶名刪除之前生成的異常分析記錄, Operate Model:考勤稽核, Operate creater:test Operate Type:刪除

2014/6/3 下午 08:24:34==> Operate Description:根據用戶名刪除之前生成的異常分析記錄, Operate Model:考勤稽核, Operate creater:test Operate Type:刪除

2014/6/3 下午 08:25:20==> Operate Description:用戶登錄, Operate Model:用戶管理, Operate creater:test Operate Type:登錄

2014/6/3 下午 08:25:56==> Operate Description:根據用戶名刪除之前生成的異常分析記錄, Operate Model:考勤稽核, Operate creater:test Operate Type:刪除

2014/6/3 下午 08:38:15==> Operate Description:根據用戶名刪除之前生成的異常分析記錄, Operate Model:考勤稽核, Operate creater:test Operate Type:刪除

2014/6/3 下午 08:38:21==> Operate Description:根據用戶名刪除之前生成的異常分析記錄, Operate Model:考勤稽核, Operate creater:test Operate Type:刪除

2014/6/3 下午 08:42:28==> Operate Description:根據用戶名刪除之前生成的異常分析記錄, Operate Model:考勤稽核, Operate creater:test Operate Type:刪除

2014/6/3 下午 08:43:01==> Operate Description:根據用戶名刪除之前生成的異常分析記錄, Operate Model:考勤稽核, Operate creater:test Operate Type:刪除

2014/6/3 下午 09:01:19==> Operate Description:根據用戶名刪除之前生成的異常分析記錄, Operate Model:考勤稽核, Operate creater:test Operate Type:刪除

2014/6/3 下午 09:01:27==> Operate Description:根據用戶名刪除之前生成的異常分析記錄, Operate Model:考勤稽核, Operate creater:test Operate Type:刪除

2014/6/3 下午 09:02:20==> Operate Description:根據用戶名刪除之前生成的異常分析記錄, Operate Model:考勤稽核, Operate creater:test Operate Type:刪除

